graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
world666,aco_elite,5,0,,,,0,false
world666,aco_elite,5,10,594200,,,400,true
world666,aco_elite,5,20,394968,,,800,true
world666,aco_elite,5,30,383242,,,1200,true
world666,aco_elite,5,40,378180,,,1600,true
world666,aco_elite,5,50,378180,,,2000,true
world666,aco_elite,5,60,378180,,,2400,true
world666,aco_elite,5,70,378180,,,2800,true
world666,aco_elite,5,80,375606,,,3200,true
world666,aco_elite,5,90,366229,,,3600,true
world666,aco_elite,5,100,366229,,,4000,true
world666,aco_elite,5,110,365075,,,4400,true
world666,aco_elite,5,120,362510,,,4800,true
world666,aco_elite,5,130,361101,,,5200,true
world666,aco_elite,5,140,361101,,,5600,true
world666,aco_elite,5,150,356550,,,6000,true
world666,aco_elite,5,160,356550,,,6400,true
world666,aco_elite,5,170,356550,,,6800,true
world666,aco_elite,5,180,356550,,,7200,true
world666,aco_elite,5,190,356550,,,7600,true
world666,aco_elite,5,200,356550,,,8000,true
world666,aco_elite,5,210,356550,,,8400,true
world666,aco_elite,5,220,354461,,,8800,true
world666,aco_elite,5,230,350687,,,9200,true
world666,aco_elite,5,240,350687,,,9600,true
world666,aco_elite,5,250,350687,,,10000,true
world666,aco_elite,5,260,350687,,,10400,true
world666,aco_elite,5,270,350687,,,10800,true
world666,aco_elite,5,280,350687,,,11200,true
world666,aco_elite,5,290,350687,,,11600,true
world666,aco_elite,5,300,349968,,,12000,true
world666,aco_elite,5,310,341181,,,12400,true
world666,aco_elite,5,320,341181,,,12800,true
world666,aco_elite,5,330,339846,,,13200,true
world666,aco_elite,5,340,339846,,,13600,true
world666,aco_elite,5,350,339846,,,14000,true
world666,aco_elite,5,360,339846,,,14400,true
world666,aco_elite,5,370,339846,,,14800,true
world666,aco_elite,5,380,339846,,,15200,true
world666,aco_elite,5,390,339846,,,15600,true
world666,aco_elite,5,400,339846,,,16000,true
world666,aco_elite,5,410,339846,,,16400,true
world666,aco_elite,5,420,339846,,,16800,true
world666,aco_elite,5,430,339846,,,17200,true
world666,aco_elite,5,440,339846,,,17600,true
world666,aco_elite,5,450,339846,,,18000,true
world666,aco_elite,5,460,339846,,,18400,true
world666,aco_elite,5,470,339846,,,18800,true
world666,aco_elite,5,480,339846,,,19200,true
world666,aco_elite,5,490,339846,,,19600,true
world666,aco_elite,5,500,339846,,,20000,true
world666,aco_elite,5,510,339846,,,20400,true
world666,aco_elite,5,520,339846,,,20800,true
world666,aco_elite,5,526,339846,,,21040,true
