graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
world666,aco_elite,1,0,,,,0,false
world666,aco_elite,1,10,565438,,,400,true
world666,aco_elite,1,20,392154,,,800,true
world666,aco_elite,1,30,385939,,,1200,true
world666,aco_elite,1,40,378696,,,1600,true
world666,aco_elite,1,50,378696,,,2000,true
world666,aco_elite,1,60,376325,,,2400,true
world666,aco_elite,1,70,366318,,,2800,true
world666,aco_elite,1,80,366318,,,3200,true
world666,aco_elite,1,90,363785,,,3600,true
world666,aco_elite,1,100,359557,,,4000,true
world666,aco_elite,1,110,359557,,,4400,true
world666,aco_elite,1,120,359557,,,4800,true
world666,aco_elite,1,130,358156,,,5200,true
world666,aco_elite,1,140,358156,,,5600,true
world666,aco_elite,1,150,358156,,,6000,true
world666,aco_elite,1,160,358156,,,6400,true
world666,aco_elite,1,170,358156,,,6800,true
world666,aco_elite,1,180,358156,,,7200,true
world666,aco_elite,1,190,358156,,,7600,true
world666,aco_elite,1,200,358156,,,8000,true
world666,aco_elite,1,210,358156,,,8400,true
world666,aco_elite,1,220,358156,,,8800,true
world666,aco_elite,1,230,358156,,,9200,true
world666,aco_elite,1,240,358156,,,9600,true
world666,aco_elite,1,250,358156,,,10000,true
world666,aco_elite,1,260,358156,,,10400,true
world666,aco_elite,1,270,358156,,,10800,true
world666,aco_elite,1,280,358156,,,11200,true
world666,aco_elite,1,290,353558,,,11600,true
world666,aco_elite,1,300,353558,,,12000,true
world666,aco_elite,1,310,353558,,,12400,true
world666,aco_elite,1,320,353558,,,12800,true
world666,aco_elite,1,330,353558,,,13200,true
world666,aco_elite,1,340,353558,,,13600,true
world666,aco_elite,1,350,353558,,,14000,true
world666,aco_elite,1,360,353558,,,14400,true
world666,aco_elite,1,370,353558,,,14800,true
world666,aco_elite,1,380,353558,,,15200,true
world666,aco_elite,1,390,353558,,,15600,true
world666,aco_elite,1,400,353558,,,16000,true
world666,aco_elite,1,410,353558,,,16400,true
world666,aco_elite,1,420,353558,,,16800,true
world666,aco_elite,1,430,353558,,,17200,true
world666,aco_elite,1,440,353558,,,17600,true
world666,aco_elite,1,450,353558,,,18000,true
world666,aco_elite,1,460,353558,,,18400,true
world666,aco_elite,1,470,353558,,,18800,true
world666,aco_elite,1,480,353558,,,19200,true
world666,aco_elite,1,485,353558,,,19400,true
