graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
small6,aco_basic,3,0,,,,0,false
small6,aco_basic,3,10,12,,,393,true
small6,aco_basic,3,20,12,,,793,true
small6,aco_basic,3,30,12,,,1193,true
small6,aco_basic,3,40,12,,,1593,true
small6,aco_basic,3,50,12,,,1993,true
small6,aco_basic,3,60,12,,,2393,true
small6,aco_basic,3,70,12,,,2793,true
small6,aco_basic,3,80,12,,,3193,true
small6,aco_basic,3,90,12,,,3593,true
small6,aco_basic,3,100,12,,,3993,true
small6,aco_basic,3,110,12,,,4393,true
small6,aco_basic,3,120,12,,,4793,true
small6,aco_basic,3,130,12,,,5193,true
small6,aco_basic,3,140,12,,,5593,true
small6,aco_basic,3,150,12,,,5993,true
small6,aco_basic,3,160,12,,,6393,true
small6,aco_basic,3,170,12,,,6793,true
small6,aco_basic,3,180,12,,,7193,true
small6,aco_basic,3,190,12,,,7593,true
small6,aco_basic,3,200,12,,,7993,true
small6,aco_basic,3,201,12,,,8033,true
