graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
small6,aco_basic,5,0,,,,0,false
small6,aco_basic,5,10,12,,,396,true
small6,aco_basic,5,20,12,,,796,true
small6,aco_basic,5,30,12,,,1196,true
small6,aco_basic,5,40,12,,,1596,true
small6,aco_basic,5,50,12,,,1996,true
small6,aco_basic,5,60,12,,,2396,true
small6,aco_basic,5,70,12,,,2796,true
small6,aco_basic,5,80,12,,,3196,true
small6,aco_basic,5,90,12,,,3596,true
small6,aco_basic,5,100,12,,,3996,true
small6,aco_basic,5,110,12,,,4396,true
small6,aco_basic,5,120,12,,,4796,true
small6,aco_basic,5,130,12,,,5196,true
small6,aco_basic,5,140,12,,,5596,true
small6,aco_basic,5,150,12,,,5996,true
small6,aco_basic,5,160,12,,,6396,true
small6,aco_basic,5,170,12,,,6796,true
small6,aco_basic,5,180,12,,,7196,true
small6,aco_basic,5,190,12,,,7596,true
small6,aco_basic,5,200,12,,,7996,true
small6,aco_basic,5,201,12,,,8036,true
